date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-12-02,14,0,14,0,0,0,0,0.0
2018-12-03,201,113,88,0,113,0,0,0.0
2018-12-04,241,135,106,0,135,0,0,0.0
2018-12-05,257,149,108,0,149,0,0,0.0
2018-12-06,259,152,107,0,152,0,0,0.0
2018-12-07,129,41,88,0,41,0,0,0.0
2018-12-09,13,0,13,0,0,0,0,0.0
2018-12-10,243,137,106,0,137,0,0,0.0
2018-12-11,240,131,109,0,131,0,0,0.0
2018-12-12,217,121,96,0,121,0,0,0.0
2018-12-13,177,81,96,0,81,0,0,0.0
2018-12-14,198,126,72,0,126,0,0,0.0
2018-12-16,16,0,16,0,0,0,0,0.0
2018-12-17,241,146,95,0,146,0,0,0.0
2018-12-18,253,149,104,0,149,0,0,0.0
2018-12-19,227,115,112,0,115,0,0,0.0
2018-12-20,234,142,92,0,142,0,0,0.0
2018-12-21,171,94,77,0,94,0,0,0.0
2018-12-23,5,0,5,0,0,0,0,0.0
2018-12-24,131,122,9,0,122,0,0,0.0
2018-12-25,117,0,117,0,0,0,0,0.0
2018-12-26,222,145,77,0,145,0,0,0.0
2018-12-27,227,118,109,0,118,0,0,0.0
2018-12-28,165,70,95,0,70,0,0,0.0
2018-12-30,12,0,12,0,0,0,0,0.0
2018-12-31,215,123,92,0,123,0,0,0.0
2019-01-01,16,0,16,0,0,0,0,0.0
2019-01-02,194,102,92,0,102,0,0,0.0
2019-01-03,58,46,12,0,46,0,0,0.0
2019-01-04,207,111,96,0,111,0,0,0.0
2019-01-06,11,0,11,0,0,0,0,0.0
2019-01-07,225,137,88,0,137,0,0,0.0
2019-01-08,216,124,92,0,124,0,0,0.0
2019-01-09,189,117,72,0,117,0,0,0.0
2019-01-10,246,141,105,0,141,0,0,0.0
2019-01-11,184,99,85,0,99,0,0,0.0
2019-01-13,12,0,12,0,0,0,0,0.0
2019-01-14,222,110,112,0,110,0,0,0.0
2019-01-15,213,116,97,0,116,0,0,0.0
2019-01-16,218,116,102,0,116,0,0,0.0
2019-01-17,210,105,105,0,105,0,0,0.0
2019-01-18,213,118,95,0,118,0,0,0.0
2019-01-20,3,0,3,0,0,0,0,0.0
2019-01-21,181,79,102,0,79,0,0,0.0
2019-01-22,202,117,85,0,117,0,0,0.0
2019-01-23,236,137,99,0,137,0,0,0.0
2019-01-24,178,91,87,0,91,0,0,0.0
2019-01-25,239,144,95,0,144,0,0,0.0
2019-01-27,10,0,10,0,0,0,0,0.0
2019-01-28,232,129,103,0,129,0,0,0.0
2019-01-29,243,154,89,0,154,0,0,0.0
2019-01-30,174,131,43,0,131,0,0,0.0
2019-01-31,238,139,99,0,139,0,0,0.0
2019-02-01,224,137,87,0,137,0,0,0.0
2019-02-03,17,0,17,0,0,0,0,0.0
2019-02-04,174,71,103,0,71,0,0,0.0
